;0;300;600;900;1200;1500;1800;2100;2400;2700
343,500000;0,205729;0,201275;0,202862;0,204709;0,207376;0,213534;0,213650;0,215691;0,215948;0,218277
344,000000;0,190213;0,190252;0,192937;0,194937;0,198550;0,201398;0,202167;0,205372;0,205483;0,208462
344,500000;0,177182;0,179864;0,182750;0,184705;0,188778;0,189153;0,190992;0,194295;0,196496;0,199029
345,000000;0,168323;0,169141;0,171248;0,172885;0,177288;0,179612;0,180889;0,182886;0,187757;0,190352
345,500000;0,159064;0,158905;0,161303;0,162835;0,167237;0,169982;0,172768;0,173534;0,177915;0,183138
346,000000;0,148621;0,149446;0,152595;0,154487;0,159026;0,160249;0,165293;0,165638;0,168344;0,176022
346,500000;0,138751;0,140452;0,143171;0,145850;0,151101;0,151809;0,156432;0,157209;0,161174;0,167040
347,000000;0,130566;0,131214;0,133979;0,137360;0,142151;0,143479;0,147692;0,149209;0,154634;0,157758
347,500000;0,123649;0,121985;0,126242;0,129659;0,132484;0,135006;0,140538;0,142750;0,147407;0,150157
348,000000;0,115287;0,114559;0,120025;0,122436;0,124740;0,128672;0,134456;0,137543;0,140652;0,144956
348,500000;0,106453;0,108214;0,113926;0,115874;0,118764;0,123413;0,127872;0,131876;0,134062;0,140102
349,000000;0,100314;0,100916;0,106261;0,110396;0,112561;0,116282;0,119501;0,123965;0,126621;0,132583
349,500000;0,095818;0,094674;0,099470;0,105225;0,106776;0,109343;0,113311;0,117085;0,120844;0,125451
350,000000;0,091168;0,090943;0,095336;0,099776;0,102265;0,104958;0,111373;0,113691;0,118000;0,121414
350,500000;0,085936;0,087025;0,091235;0,094604;0,098267;0,102343;0,108001;0,110830;0,114124;0,118011
351,000000;0,080230;0,082134;0,086278;0,089920;0,093984;0,099302;0,101805;0,106625;0,108459;0,113484
351,500000;0,074545;0,077639;0,081618;0,085477;0,088986;0,093362;0,096061;0,101066;0,103544;0,107708
352,000000;0,069718;0,073751;0,077365;0,080913;0,084055;0,086576;0,091472;0,095219;0,099330;0,102721
352,500000;0,066134;0,070028;0,073342;0,076241;0,079948;0,081849;0,087731;0,090410;0,095002;0,099920
353,000000;0,062538;0,065601;0,069724;0,072428;0,075972;0,079362;0,084737;0,087436;0,090591;0,096725
353,500000;0,058592;0,060588;0,066081;0,069160;0,072173;0,077703;0,081681;0,085336;0,086629;0,092334
354,000000;0,055356;0,056379;0,061574;0,064903;0,069670;0,074486;0,077275;0,081663;0,084062;0,088695
354,500000;0,053346;0,053924;0,057964;0,061328;0,068085;0,070557;0,073277;0,077806;0,082663;0,086465
355,000000;0,052182;0,053161;0,056992;0,060325;0,066340;0,067816;0,071848;0,076002;0,081442;0,085148
355,500000;0,049578;0,051459;0,055594;0,058629;0,063897;0,065906;0,071016;0,074323;0,079053;0,082928
