;0;300;600;900;1200;1500;1800
347,000000;0,166815;0,174107;0,176335;0,181414;0,184821;0,190540;0,193664
347,500000;0,157354;0,164049;0,167937;0,173720;0,176918;0,182447;0,186186
348,000000;0,149168;0,155479;0,159352;0,164440;0,168863;0,173505;0,179104
348,500000;0,142368;0,148581;0,151432;0,155707;0,161412;0,165375;0,172617
349,000000;0,136078;0,141370;0,145058;0,150111;0,155699;0,159862;0,166272
349,500000;0,130579;0,135346;0,140438;0,145813;0,150590;0,155814;0,160622
350,000000;0,125609;0,131112;0,136570;0,140611;0,144938;0,151372;0,155764
350,500000;0,119070;0,125074;0,130507;0,134751;0,139226;0,145418;0,150225
351,000000;0,111987;0,117856;0,122962;0,128806;0,133860;0,139038;0,144316
351,500000;0,107808;0,113708;0,117737;0,123471;0,129030;0,134803;0,139889
352,000000;0,104603;0,110665;0,114302;0,119801;0,124848;0,131513;0,136111
352,500000;0,099859;0,105946;0,110825;0,117648;0,121054;0,127286;0,131748
353,000000;0,095511;0,101568;0,106953;0,113518;0,116628;0,122711;0,127568
353,500000;0,092383;0,098433;0,102943;0,107655;0,112012;0,118992;0,124121
354,000000;0,089369;0,095439;0,099472;0,104701;0,109219;0,117307;0,121376
354,500000;0,086041;0,092129;0,096277;0,103121;0,106851;0,115022;0,118770
355,000000;0,082551;0,088532;0,092837;0,099379;0,102816;0,109430;0,115652
355,500000;0,080018;0,085385;0,089889;0,095099;0,099437;0,105024;0,112359
356,000000;0,078428;0,083213;0,087994;0,092217;0,097860;0,104127;0,109601
356,500000;0,075997;0,081744;0,086782;0,090988;0,096082;0,103414;0,107956
357,000000;0,073074;0,079760;0,084902;0,089625;0,093608;0,101193;0,106017
357,500000;0,070366;0,076174;0,081307;0,086351;0,090689;0,097246;0,102206
358,000000;0,068069;0,072742;0,078302;0,082966;0,088537;0,093087;0,098683
358,500000;0,066283;0,070911;0,077165;0,081001;0,087435;0,090354;0,096917
359,000000;0,064663;0,070103;0,075816;0,079894;0,085332;0,089737;0,095451
359,500000;0,062964;0,068880;0,073636;0,078354;0,082225;0,089393;0,093385
360,000000;0,061067;0,066016;0,071279;0,075368;0,079515;0,086568;0,090660
360,500000;0,059307;0,063723;0,069230;0,073281;0,077567;0,083120;0,088436
361,000000;0,057787;0,063107;0,067452;0,073301;0,076131;0,080997;0,087156
361,500000;0,055900;0,061315;0,065054;0,072633;0,074348;0,079607;0,085247
362,000000;0,054318;0,058423;0,063174;0,070627;0,072296;0,078321;0,082697
362,500000;0,054280;0,056944;0,063936;0,068593;0,070775;0,076772;0,080754
363,000000;0,053103;0,056381;0,064084;0,066039;0,069384;0,074613;0,078638
363,500000;0,049492;0,055645;0,061052;0,062989;0,067820;0,072133;0,076064
364,000000;0,048624;0,054983;0,058493;0,062320;0,067145;0,071194;0,075718
364,500000;0,050383;0,054094;0,057892;0,063245;0,066976;0,071139;0,076821
