wavelength,tampon,0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11
556.02002,0.08459,215.31149,198.37613,185.37062,172.36617,159.173,146.25757,133.09927,120.6235,108.28112,96.33459,84.48125,73.63936,62.96104,51.82534,42.54689,33.33017,31.93731,21.28364,20.66839,20.03829,16.68751,16.09617,16.23176
557.94,0.1394,209.18558,190.57985,177.86974,166.47418,153.80873,140.64433,128.28296,115.98871,105.38729,93.41604,81.02854,71.30336,60.50706,49.54211,41.27407,32.57897,30.39888,20.71686,19.98213,19.46532,16.28626,15.75089,15.54156
560,0.08562,201.49261,184.06479,173.38213,159.97403,149.91087,137.01624,123.83057,111.86523,102.4915,90.05774,79.54335,69.04366,57.6627,48.31277,39.58578,31.16045,29.58703,19.90299,19.25799,18.932,15.38551,15.39115,15.32678
561.94,0.12398,195.28575,176.60373,167.0455,154.93912,143.50946,132.03024,120.38533,108.74935,97.83803,86.83166,76.23269,66.04982,56.43188,46.52868,37.87371,30.17403,28.82974,18.95633,18.50158,18.03559,14.98937,14.54667,14.89924
564.02002,0.15137,186.95665,171.92097,161.37953,148.82182,138.08577,126.55666,115.53417,104.8609,93.39754,83.73652,73.84104,63.6171,53.93793,44.73168,37.00407,28.95751,28.12599,18.41777,17.99083,17.52436,14.44079,13.95446,13.62554
565.96997,0.06407,181.40372,165.77107,152.96567,144.6205,134.13991,121.44536,110.62999,100.33268,90.65161,80.49103,71.09756,61.86793,52.43387,43.00085,35.50368,27.88224,26.99904,17.32352,16.98612,16.632,13.48145,13.35889,13.22591
568.04999,0.08427,172.69049,159.27892,148.22426,136.44849,129.5862,117.23583,106.73701,97.33302,86.65273,76.84176,67.67158,59.28666,50.46708,42.01374,33.48724,26.64502,25.49704,16.90057,16.61495,16.03991,13.18103,13.01296,12.80692
570,0.1111,166.183,152.19945,142.20006,133.63371,123.07488,112.42281,101.95203,92.15152,82.60762,74.1749,64.2104,56.54355,48.2758,40.09077,32.24117,25.43762,24.49611,16.29255,15.83226,15.33241,12.79093,12.48793,12.4251
572.04999,0.0998,158.96228,144.65167,136.49184,126.05334,116.92241,106.76588,97.77737,87.48454,79.64761,71.36688,62.48266,54.25837,46.09427,37.89157,31.04919,24.27907,23.12332,15.54978,15.37453,14.79005,12.22653,12.21326,11.62937
573.96997,0.04581,151.47687,139.6759,131.66777,121.3758,112.46861,102.88351,92.84846,84.76511,76.27048,68.38009,59.59264,52.20637,43.9378,37.03601,29.59088,22.96709,22.76959,14.89604,14.24652,13.9236,11.47538,11.22483,11.31357
