wavelength,state,OD
425,native,"0,006338954"
426,native,"0,006942153"
427,native,"0,0064075589"
428,native,"0,0065888762"
429,native,"0,0061014295"
430,native,"0,0073632598"
431,native,"0,0062400103"
432,native,"0,0067790151"
433,native,"0,0065823197"
434,native,"0,0064607859"
435,native,"0,0067636371"
436,native,"0,0067606568"
437,native,"0,0058490634"
438,native,"0,0068892837"
439,native,"0,0061295629"
440,native,"0,0067495704"
441,native,"0,0072908401"
442,native,"0,0067921877"
443,native,"0,006318152"
444,native,"0,0068899989"
445,native,"0,0066974163"
446,native,"0,0067999959"
447,native,"0,0067503452"
448,native,"0,0066649318"
449,native,"0,0064324141"
450,native,"0,0062201619"
451,native,"0,0065799952"
452,native,"0,0072350502"
453,native,"0,0062593818"
454,native,"0,0065383911"
455,native,"0,0065022707"
456,native,"0,0060833693"
457,native,"0,0060272813"
458,native,"0,0059313178"
459,native,"0,0063698292"
460,native,"0,0061098933"
461,native,"0,0061281919"
462,native,"0,0059691072"
463,native,"0,0060458779"
464,native,"0,0065767169"
465,native,"0,00642097"
466,native,"0,0059440136"
467,native,"0,0060369968"
468,native,"0,0056790709"
469,native,"0,0059890747"
470,native,"0,0058030486"
471,native,"0,0057439208"
472,native,"0,0066418648"
473,native,"0,0066210628"
474,native,"0,0055156946"
475,native,"0,0059070587"
476,native,"0,006490171"
477,native,"0,0063589215"
478,native,"0,0048905611"
479,native,"0,0058243275"
480,native,"0,0058797002"
481,native,"0,0048055053"
482,native,"0,0056203008"
483,native,"0,0057590604"
484,native,"0,0052714944"
485,native,"0,0057165027"
486,native,"0,0048006773"
487,native,"0,005269289"
488,native,"0,0059733391"
489,native,"0,0046024323"
490,native,"0,0051800013"
491,native,"0,0047581792"
492,native,"0,0048505664"
493,native,"0,005386591"
494,native,"0,0040909648"
495,native,"0,0045121312"
496,native,"0,0052677989"
497,native,"0,0042136312"
498,native,"0,0049216747"
499,native,"0,0052543879"
500,native,"0,0043672323"
501,native,"0,00435853"
502,native,"0,0051215291"
503,native,"0,0044086576"
504,native,"0,0045227408"
505,native,"0,0048391819"
506,native,"0,0041286349"
507,native,"0,0043920875"
508,native,"0,0042216778"
509,native,"0,0037230849"
510,native,"0,0046858788"
511,native,"0,0036628842"
512,native,"0,004262507"
513,native,"0,0048984885"
514,native,"0,0036925077"
515,native,"0,0039023757"
516,native,"0,0045987964"
517,native,"0,004350841"
518,native,"0,0044799447"
519,native,"0,003666997"
520,native,"0,0037173033"
521,native,"0,0041382313"
522,native,"0,0041975379"
523,native,"0,0042422414"
524,native,"0,0046289563"
525,native,"0,0040671825"
526,native,"0,0035007"
527,native,"0,0036543012"
528,native,"0,0039143562"
529,native,"0,0037732124"
530,native,"0,0040901899"
531,native,"0,0041043758"
532,native,"0,0042048693"
533,native,"0,0040771961"
534,native,"0,0042609572"
535,native,"0,0042845011"
536,native,"0,0042915344"
537,native,"0,0043269396"
538,native,"0,0041440725"
539,native,"0,0039558411"
540,native,"0,0043615699"
541,native,"0,0040012598"
542,native,"0,0034356117"
543,native,"0,0033492446"
544,native,"0,003913939"
545,native,"0,0038608909"
546,native,"0,0030894279"
547,native,"0,0036835074"
548,native,"0,0039278269"
549,native,"0,0033553243"
550,native,"0,0043236613"
551,native,"0,0028799772"
552,native,"0,0038770437"
553,native,"0,003259182"
554,native,"0,0040099621"
555,native,"0,0032666326"
556,native,"0,0036665201"
557,native,"0,0032308698"
558,native,"0,0028024316"
559,native,"0,003872335"
560,native,"0,0033652782"
561,native,"0,0030088425"
562,native,"0,0040929317"
563,native,"0,0033943057"
564,native,"0,0028865337"
565,native,"0,0029749274"
566,native,"0,0037444234"
567,native,"0,0035549402"
568,native,"0,0024834871"
569,native,"0,0027805567"
570,native,"0,0028947592"
571,native,"0,0026721954"
572,native,"0,0035891533"
573,native,"0,0034023523"
574,native,"0,0029354692"
575,native,"0,002884388"
576,native,"0,0030195117"
577,native,"0,0035328865"
578,native,"0,0031731725"
579,native,"0,0027820468"
580,native,"0,0028381944"
581,native,"0,0030760765"
582,native,"0,003554523"
583,native,"0,0032027364"
584,native,"0,0026253462"
585,native,"0,0036440492"
586,native,"0,0029158592"
587,native,"0,003742218"
588,native,"0,0028221607"
589,native,"0,0033845901"
590,native,"0,0030425787"
591,native,"0,0033200383"
592,native,"0,0030855536"
593,native,"0,0025250316"
594,native,"0,0025634766"
595,native,"0,0027855039"
596,native,"0,0028591156"
597,native,"0,0027040243"
598,native,"0,0026683807"
599,native,"0,0024548173"
600,native,"0,0022787452"
250,denature,"0,0429190993"
251,denature,"0,0438139439"
252,denature,"0,0438355803"
253,denature,"0,0441525578"
254,denature,"0,0433881879"
255,denature,"0,0451405048"
